# BRON: KONINKLIJK NEDERLANDS METEOROLOGISCH INSTITUUT (KNMI)
# Opmerking: door stationsverplaatsingen en veranderingen in waarneemmethodieken zijn deze tijdreeksen van dagwaarden mogelijk inhomogeen! Dat betekent dat deze reeks van gemeten waarden niet geschikt is voor trendanalyse. Voor studies naar klimaatverandering verwijzen we naar de gehomogeniseerde reeks maandtemperaturen van De Bilt <http://www.knmi.nl/kennis-en-datacentrum/achtergrond/gehomogeniseerde-reeks-maandtemperaturen-de-bilt> of de Centraal Nederland Temperatuur <http://www.knmi.nl/kennis-en-datacentrum/achtergrond/centraal-nederland-temperatuur-cnt>.
# 
# 
# STN      LON(east)   LAT(north)     ALT(m)  NAME
# 391:         6.197       51.498      19.50  ARCEN
# 370:         5.377       51.451      22.60  EINDHOVEN
# 331:         4.193       51.480       0.00  THOLEN
# 315:         3.998       51.447       0.00  HANSWEERT
# 324:         4.006       51.596       0.00  STAVENISSE
# 375:         5.707       51.659      22.00  VOLKEL
# 380:         5.762       50.906     114.30  MAASTRICHT
# 240:         4.790       52.318      -3.30  SCHIPHOL
# 286:         7.150       53.196      -0.20  NIEUW BEERTA
# 310:         3.596       51.442       8.00  VLISSINGEN
# 283:         6.657       52.069      29.10  HUPSEL
# 280:         6.585       53.125       5.20  EELDE
# 273:         5.888       52.703      -3.30  MARKNESSE
# 323:         3.884       51.527       1.40  WILHELMINADORP
# 249:         4.979       52.644      -2.40  BERKHOUT
# 377:         5.763       51.198      30.00  ELL
# 316:         3.694       51.657       0.00  SCHAAR
# 313:         3.242       51.505       0.00  VLAKTE V.D. RAAN
# 277:         6.200       53.413       2.90  LAUWERSOOG
# 348:         4.926       51.970      -0.70  CABAUW
# 308:         3.379       51.381       0.00  CADZAND
# 319:         3.861       51.226       1.70  WESTDORPE
# 215:         4.437       52.141      -1.10  VOORSCHOTEN
# 278:         6.259       52.435       3.60  HEINO
# 285:         6.399       53.575       0.00  HUIBERTGAT
# 343:         4.313       51.893       3.50  R'DAM-GEULHAVEN
# 225:         4.555       52.463       4.40  IJMUIDEN
# 330:         4.122       51.992      11.90  HOEK VAN HOLLAND
# 267:         5.384       52.898      -1.30  STAVOREN
# 269:         5.520       52.458      -3.70  LELYSTAD
# 344:         4.447       51.962      -4.30  ROTTERDAM
# 275:         5.873       52.056      48.20  DEELEN
# 235:         4.781       52.928       1.20  DE KOOY
# 257:         4.603       52.506       8.50  WIJK AAN ZEE
# 290:         6.891       52.274      34.80  TWENTHE
# 350:         4.936       51.566      14.90  GILZE-RIJEN
# 251:         5.346       53.392       0.70  HOORN (TERSCHELLING)
# 210:         4.430       52.171      -0.20  VALKENBURG
# 248:         5.174       52.634       0.80  WIJDENES
# 279:         6.574       52.750      15.80  HOOGEVEEN
# 258:         5.401       52.649       7.30  HOUTRIBDIJK
# 356:         5.146       51.859       0.70  HERWIJNEN
# 209:         4.518       52.465       0.00  IJMOND
# 265:         5.274       52.130      13.90  SOESTERBERG
# 312:         3.622       51.768       0.00  OOSTERSCHELDE
# 340:         4.342       51.449      19.20  WOENSDRECHT
# 260:         5.180       52.100       1.90  DE BILT
# 270:         5.752       53.224       1.20  LEEUWARDEN
# 311:         3.672       51.379       0.00  HOOFDPLAAT
# 242:         4.921       53.241      10.80  VLIELAND
# 
# YYYYMMDD = Datum (YYYY=jaar MM=maand DD=dag); 
# FHX      = Hoogste uurgemiddelde windsnelheid (in 0.1 m/s); 
# 
# STN,YYYYMMDD,  FHX
# 
  370,20181005,   40
  370,20181006,   60
  370,20181007,   80
  370,20181008,   30
  370,20181009,   30
  370,20181010,   50
  370,20181011,   60
  370,20181012,   60
  370,20181013,   60
  370,20181014,   70
  370,20181015,   50
  370,20181016,   30
  370,20181017,   30
  370,20181018,   50
  370,20181019,   50
  370,20181020,   20
  370,20181021,   20
  370,20181022,   60
  370,20181023,   80
  370,20181024,   60
  370,20181025,   40
  370,20181026,   70
  370,20181027,   50
  370,20181028,   80
  370,20181029,   70
  370,20181030,  110
  370,20181031,   70
  370,20181101,   50
  370,20181102,   60
  370,20181103,   30
  370,20181104,   30
  370,20181105,   30
  370,20181106,   40
  370,20181107,   60
  370,20181108,   50
  370,20181109,   40
  370,20181110,   60
  370,20181111,   70
  370,20181112,   40
  370,20181113,   80
  370,20181114,   30
  370,20181115,   30
  370,20181116,   40
  370,20181117,   50
  370,20181118,   60
  331,20180801,   70
  331,20180802,   70
  331,20180803,   70
  331,20180804,  100
  331,20180805,   50
  331,20180806,   60
  331,20180807,  110
  331,20180808,  110
  331,20180809,  160
  331,20180810,  120
  331,20180811,   70
  331,20180812,   80
  331,20180813,   90
  331,20180814,   80
  331,20180815,   80
  331,20180816,   80
  331,20180817,   70
  331,20180818,   70
  331,20180819,   90
  331,20180820,   60
  331,20180821,   40
  331,20180822,   60
  331,20180823,   80
  331,20180824,  110
  331,20180825,  100
  331,20180826,  110
  331,20180827,  120
  331,20180828,   40
  331,20180829,   90
  331,20180830,   60
  331,20180831,   50
  331,20180901,   50
  331,20180902,   60
  331,20180903,   60
  331,20180904,   60
  331,20180905,   70
  331,20180906,   80
  331,20180907,   90
  331,20180908,   80
  331,20180909,   70
  331,20180910,   80
  331,20180911,  110
  331,20180912,   70
  331,20180913,   50
  331,20180914,   80
  331,20180915,   60
  331,20180916,   70
  331,20180917,   50
  331,20180918,  110
  331,20180919,  100
  331,20180920,   90
  331,20180921,  140
  331,20180922,   90
  331,20180923,   90
  331,20180924,   90
  331,20180925,   40
  331,20180926,   60
  331,20180927,   50
  331,20180928,   90
  331,20180929,   40
  331,20180930,   80
  331,20181001,  110
  331,20181002,  110
  331,20181003,   80
  331,20181004,   60
  331,20181005,   50
  331,20181006,  100
  331,20181007,  100
  331,20181008,   50
  331,20181009,   50
  331,20181010,   80
  331,20181011,  100
  331,20181012,   90
  331,20181013,   80
  331,20181014,  100
  331,20181015,   70
  331,20181016,   40
  331,20181017,   50
  331,20181018,   70
  331,20181019,   60
  331,20181020,   30
  331,20181021,   40
  331,20181022,   70
  331,20181023,  110
  331,20181024,  100
  331,20181025,   70
  331,20181026,  110
  331,20181027,   90
  331,20181028,  100
  331,20181029,   90
  331,20181030,  150
  331,20181031,   90
  331,20181101,   80
  331,20181102,   80
  331,20181103,   50
  331,20181104,   50
  331,20181105,   50
  331,20181106,   80
  331,20181107,  110
  331,20181108,   80
  331,20181109,  100
  331,20181110,  110
  331,20181111,  110
  331,20181112,   80
  331,20181113,  110
  331,20181114,   60
  331,20181115,   50
  331,20181116,   50
  331,20181117,   80
  331,20181118,   90
  315,20180801,   50
  315,20180802,   40
  315,20180803,   60
  315,20180804,   90
  315,20180805,   50
  315,20180806,   60
  315,20180807,   90
  315,20180808,  110
  315,20180809,  120
  315,20180810,  130
  315,20180811,   70
  315,20180812,   80
  315,20180813,   80
  315,20180814,   90
  315,20180815,   90
  315,20180816,   80
  315,20180817,   60
  315,20180818,   80
  315,20180819,   90
  315,20180820,   60
  315,20180821,   40
  315,20180822,   50
  315,20180823,   70
  315,20180824,  110
  315,20180825,  100
  315,20180826,  100
  315,20180827,  110
  315,20180828,   50
  315,20180829,   70
  315,20180830,   60
  315,20180831,   40
  315,20180901,   30
  315,20180902,   40
  315,20180903,   60
  315,20180904,   50
  315,20180905,   60
  315,20180906,   70
  315,20180907,   90
  315,20180908,   70
  315,20180909,   70
  315,20180910,   90
  315,20180911,  100
  315,20180912,   70
  315,20180913,   40
  315,20180914,   80
  315,20180915,   70
  315,20180916,   60
  315,20180917,   50
  315,20180918,  110
  315,20180919,   90
  315,20180920,  100
  315,20180921,  140
  315,20180922,   90
  315,20180923,   70
  315,20180924,   70
  315,20180925,   40
  315,20180926,   70
  315,20180927,     
  315,20180928,   60
  315,20180929,   30
  315,20180930,   70
  315,20181001,  110
  315,20181002,  120
  315,20181003,   60
  315,20181004,   60
  315,20181005,   40
  315,20181006,   80
  315,20181007,   80
  315,20181008,   50
  315,20181009,   40
  315,20181010,   60
  315,20181011,  100
  315,20181012,   90
  315,20181013,   80
  315,20181014,   90
  315,20181015,   60
  315,20181016,   30
  315,20181017,   40
  315,20181018,   50
  315,20181019,   40
  315,20181020,   20
  315,20181021,   40
  315,20181022,   60
  315,20181023,  100
  315,20181024,   80
  315,20181025,   60
  315,20181026,   90
  315,20181027,   80
  315,20181028,   70
  315,20181029,   70
  315,20181030,  140
  315,20181031,  100
  315,20181101,   90
  315,20181102,   70
